,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Density Value (g / ml),Density Uncertainty (g / ml),Source
0,f11db707d13743b1b4960782a5f1c4be,89.13,9873.108,Liquid,1,[Ar],Solvent,1.0,,1.41,0.007,10.1016/0031-8914(60)90042-2
1,5112056d0a0e4a7c8951b322d4e020b5,90.55,10421.276249999999,Liquid,1,[Ar],Solvent,1.0,,1.404,0.006,10.1016/0031-8914(60)90042-2
2,37d1015eb1ab4e2a9ac306d498a17771,87.91,10421.276249999999,Liquid,1,[Ar],Solvent,1.0,,1.419,0.008,10.1016/0031-8914(60)90042-2
3,6b9612bed3b842c697fc95b5aa6e59c0,89.13,14677.939500000002,Liquid,1,[Ar],Solvent,1.0,,1.423,0.006,10.1016/0031-8914(60)90042-2
4,c0be65a558874e7ab07b773e0a7df00a,89.13,11820.5745,Liquid,1,[Ar],Solvent,1.0,,1.416,0.001,10.1016/0031-8914(60)90042-2
5,5be59d0861494b31b26f4d81d65cf8f7,89.13,7955.025750000001,Liquid,1,[Ar],Solvent,1.0,,1.405,0.004,10.1016/0031-8914(60)90042-2
6,c7e3eb36304946de983e85aef9c2d47c,89.13,6047.076,Liquid,1,[Ar],Solvent,1.0,,1.4,0.003,10.1016/0031-8914(60)90042-2
7,8e99a2d2752c45f99fa53325893eb6bc,89.13,4118.86125,Liquid,1,[Ar],Solvent,1.0,,1.394,0.003,10.1016/0031-8914(60)90042-2
8,bb0cacc019284c32884a1819fb4fcbbe,89.13,2210.9115,Liquid,1,[Ar],Solvent,1.0,,1.388,0.007,10.1016/0031-8914(60)90042-2
